ticker,quarter,sector,industry,earnings_yield,return_on_capital,market_cap,pe_ratio,pb_ratio,debt_to_equity,current_ratio,net_margin,revenue_growth,fcf_yield,enterprise_value,return_3m,return_6m,volatility_60d,quarter_date,forward_return,forward_return_rank
A,2012-Q4,Healthcare,Diagnostics & Research,0.816,0.584,0.792,0.504,0.416,0.536,0.68,0.504,0.504,0.872,0.768,0.536,0.296,0.48,2012-12-31,0.3763769662152523,67.62589928057554
A,2013-Q4,Healthcare,Diagnostics & Research,0.6515151515151515,0.45454545454545453,0.8106060606060606,0.5037878787878788,0.3787878787878788,0.6136363636363636,0.7954545454545454,0.5037878787878788,0.13636363636363635,0.8181818181818182,0.7954545454545454,0.6287878787878788,0.7651515151515151,0.5606060606060606,2013-12-31,0.0512183786916776,39.416058394160586
A,2014-Q4,Healthcare,Diagnostics & Research,0.2803030303030303,0.4318181818181818,0.8257575757575758,0.5037878787878788,0.6590909090909091,0.6212121212121212,0.8181818181818182,0.5037878787878788,0.30303030303030304,0.3106060606060606,0.8106060606060606,0.23484848484848486,0.4015151515151515,0.38636363636363635,2014-12-31,-0.0265347097232619,51.85185185185185
A,2015-Q4,Healthcare,Diagnostics & Research,0.17424242424242425,0.4621212121212121,0.803030303030303,0.5037878787878788,0.7424242424242424,0.4393939393939394,0.8560606060606061,0.5037878787878788,0.03787878787878788,0.20454545454545456,0.7651515151515151,0.9166666666666666,0.7424242424242424,0.21212121212121213,2015-12-31,0.3435699998650956,67.88321167883211
A,2016-Q4,Healthcare,Diagnostics & Research,0.21897810218978103,0.4744525547445255,0.8248175182481752,0.5036496350364964,0.7226277372262774,0.5328467153284672,0.8540145985401459,0.5036496350364964,0.6131386861313869,0.32116788321167883,0.7883211678832117,0.30656934306569344,0.2773722627737226,0.36496350364963503,2016-12-31,0.2736125270041353,75.177304964539
A,2017-Q4,Healthcare,Diagnostics & Research,0.17687074829931973,0.6190476190476191,0.8571428571428571,0.5034013605442177,0.8571428571428571,0.46938775510204084,0.8027210884353742,0.5034013605442177,0.4421768707482993,0.272108843537415,0.8299319727891157,0.2857142857142857,0.6122448979591837,0.1292517006802721,2017-12-31,0.2329489239333871,74.19354838709677
A,2018-Q4,Healthcare,Diagnostics & Research,0.19310344827586207,0.6206896551724138,0.8689655172413793,0.503448275862069,0.8758620689655172,0.5241379310344828,0.8482758620689655,0.503448275862069,0.4068965517241379,0.2827586206896552,0.8275862068965517,0.47586206896551725,0.7034482758620689,0.3724137931034483,2018-12-31,-0.1009452996984527,61.18421052631579
A,2019-Q4,Healthcare,Diagnostics & Research,0.19736842105263158,0.6776315789473685,0.868421052631579,0.5032894736842105,0.9013157894736842,0.5394736842105263,0.3815789473684211,0.5032894736842105,0.4605263157894737,0.23684210526315788,0.8486842105263158,0.5,0.6513157894736842,0.11842105263157894,2019-12-31,0.727442596960155,40.0
A,2020-Q4,Healthcare,Diagnostics & Research,0.19205298013245034,0.6688741721854304,0.8940397350993378,0.5033112582781457,0.8940397350993378,0.5629139072847682,0.6622516556291391,0.5033112582781457,0.6556291390728477,0.12582781456953643,0.8741721854304636,0.6490066225165563,0.5695364238410596,0.052980132450331126,2020-12-31,0.0464510762775606,52.83018867924528
A,2021-Q4,Healthcare,Diagnostics & Research,0.13496932515337423,0.7177914110429447,0.8895705521472392,0.5030674846625767,0.9079754601226994,0.6073619631901841,0.6257668711656442,0.5030674846625767,0.4601226993865031,0.2085889570552147,0.8834355828220859,0.20245398773006135,0.49079754601226994,0.2392638036809816,2021-12-31,0.0522951509511478,64.53488372093024
